  vx           vy
  0.21047E-04  0.16330E-05
  0.18340E-04  0.19259E-05
  0.16472E-04  0.24157E-05
  0.15045E-04  0.35119E-05
  0.14302E-04  0.43258E-05
  0.13894E-04  0.49861E-05
  0.13812E-04  0.55110E-05
  0.14053E-04  0.60013E-05
  0.14979E-04  0.63250E-05
  0.16120E-04  0.62917E-05
  0.17864E-04  0.48476E+00
  0.10507E+00  0.44670E+00
  0.16136E+00  0.37369E+00
  0.17437E+00  0.29823E+00
  0.15801E+00  0.24864E+00
  0.13229E+00  0.21456E+00
  0.10144E+00  0.19257E+00
  0.68434E-01  0.17896E+00
  0.34412E-01  0.17160E+00
  0.86308E-14  0.16927E+00
 -0.56027E-13  0.50106E+01
  0.80113E-02  0.49994E+01
  0.43506E-04  0.49832E-04
  0.43160E-04  0.47415E-04
  0.42869E-04  0.45074E-04
  0.42728E-04  0.42728E-04
  0.42870E-04  0.40146E-04
  0.43365E-04  0.37351E-04
  0.44388E-04  0.34381E-04
  0.46270E-04  0.31114E-04
  0.49017E-04  0.27195E-04
  0.52775E-04  0.21567E-04
  0.55840E-04  0.14380E+01
  0.26619E+00  0.13719E+01
  0.46177E+00  0.12051E+01
  0.55416E+00  0.10161E+01
  0.56712E+00  0.84213E+00
  0.52390E+00  0.69940E+00
  0.44109E+00  0.58216E+00
  0.32345E+00  0.48727E+00
  0.17228E+00  0.42213E+00
  0.20402E-04  0.40114E-05
  0.18673E-04  0.37891E-05
  0.17013E-04  0.40975E-05
  0.15754E-04  0.45201E-05
  0.14859E-04  0.49615E-05
  0.14329E-04  0.52892E-05
  0.14126E-04  0.55026E-05
  0.14281E-04  0.55795E-05
  0.14757E-04  0.54526E-05
  0.15561E-04  0.48830E-05
  0.16251E-04  0.39317E+00
  0.61577E-01  0.37812E+00
  0.10547E+00  0.34064E+00
  0.12358E+00  0.29982E+00
  0.12205E+00  0.26460E+00
  0.10740E+00  0.23889E+00
  0.85309E-01  0.22115E+00
  0.58824E-01  0.20985E+00
  0.29946E-01  0.20362E+00
  0.11571E-13  0.20163E+00
  0.29932E-13  0.50017E+01
  0.13833E-02  0.49998E+01
  0.41006E-04  0.49993E-04
  0.40851E-04  0.47722E-04
  0.40481E-04  0.45416E-04
  0.40146E-04  0.42870E-04
  0.40005E-04  0.40005E-04
  0.40217E-04  0.36788E-04
  0.40926E-04  0.33199E-04
  0.42225E-04  0.29140E-04
  0.44143E-04  0.24368E-04
  0.46341E-04  0.18702E-04
  0.48494E-04  0.11985E+01
  0.17913E+00  0.11647E+01
  0.32108E+00  0.10778E+01
  0.40707E+00  0.96460E+00
  0.43494E+00  0.85221E+00
  0.41396E+00  0.75320E+00
  0.35269E+00  0.67219E+00
  0.25774E+00  0.61061E+00
  0.13651E+00  0.57091E+00
  0.20095E-04  0.55668E-05
  0.18651E-04  0.54438E-05
  0.17251E-04  0.54872E-05
  0.16024E-04  0.56165E-05
  0.15077E-04  0.57089E-05
  0.14436E-04  0.57146E-05
  0.14110E-04  0.56036E-05
  0.14086E-04  0.53538E-05
  0.14340E-04  0.49159E-05
  0.14759E-04  0.42616E-05
  0.15244E-04  0.33671E+00
  0.42771E-01  0.32988E+00
  0.75789E-01  0.31272E+00
  0.94184E-01  0.29115E+00
  0.97740E-01  0.27112E+00
  0.89637E-01  0.25504E+00
  0.73251E-01  0.24345E+00
  0.51474E-01  0.23581E+00
  0.26482E-01  0.23153E+00
 -0.25955E-14  0.23015E+00
  0.41590E-12  0.50000E+01
  0.43723E-03  0.49999E+01
  0.38962E-04  0.49992E-04
  0.38683E-04  0.48146E-04
  0.38083E-04  0.45980E-04
  0.37351E-04  0.43365E-04
  0.36788E-04  0.40217E-04
  0.36575E-04  0.36575E-04
  0.36823E-04  0.32455E-04
  0.37569E-04  0.27824E-04
  0.38747E-04  0.22612E-04
  0.40207E-04  0.16754E-04
  0.41655E-04  0.10347E+01
  0.13295E+00  0.10176E+01
  0.24420E+00  0.97186E+00
  0.31886E+00  0.91021E+00
  0.35164E+00  0.84582E+00
  0.34337E+00  0.78865E+00
  0.29786E+00  0.74355E+00
  0.21995E+00  0.71209E+00
  0.11706E+00  0.69380E+00
  0.19916E-04  0.68786E-05
  0.18620E-04  0.68564E-05
  0.17269E-04  0.68351E-05
  0.16011E-04  0.67484E-05
  0.14979E-04  0.65571E-05
  0.14231E-04  0.62548E-05
  0.13781E-04  0.58388E-05
  0.13618E-04  0.53028E-05
  0.13698E-04  0.46392E-05
  0.13958E-04  0.38464E-05
  0.14303E-04  0.29576E+00
  0.34734E-01  0.29362E+00
  0.62804E-01  0.28793E+00
  0.79970E-01  0.28048E+00
  0.85223E-01  0.27297E+00
  0.79907E-01  0.26659E+00
  0.66422E-01  0.26175E+00
  0.47217E-01  0.25848E+00
  0.24455E-01  0.25661E+00
 -0.89043E-14  0.25601E+00
  0.13337E-13  0.49988E+01
  0.46794E-03  0.50001E+01
  0.37354E-04  0.50062E-04
  0.37017E-04  0.48825E-04
  0.35747E-04  0.47092E-04
  0.34381E-04  0.44388E-04
  0.33199E-04  0.40926E-04
  0.32455E-04  0.36823E-04
  0.32205E-04  0.32205E-04
  0.32433E-04  0.27100E-04
  0.33077E-04  0.21506E-04
  0.34027E-04  0.15461E-04
  0.35146E-04  0.90776E+00
  0.11092E+00  0.90093E+00
  0.20623E+00  0.88237E+00
  0.27446E+00  0.85692E+00
  0.30971E+00  0.83110E+00
  0.31020E+00  0.81107E+00
  0.27586E+00  0.80089E+00
  0.20856E+00  0.80019E+00
  0.11237E+00  0.80461E+00
  0.19955E-04  0.80863E-05
  0.18683E-04  0.82636E-05
  0.17162E-04  0.82697E-05
  0.15759E-04  0.79873E-05
  0.14585E-04  0.75183E-05
  0.13720E-04  0.69069E-05
  0.13163E-04  0.61922E-05
  0.12893E-04  0.53832E-05
  0.12875E-04  0.44933E-05
  0.13065E-04  0.35476E-05
  0.13375E-04  0.25951E+00
  0.34073E-01  0.26111E+00
  0.61640E-01  0.26498E+00
  0.78327E-01  0.26959E+00
  0.83460E-01  0.27354E+00
  0.78331E-01  0.27647E+00
  0.65217E-01  0.27846E+00
  0.46435E-01  0.27975E+00
  0.24078E-01  0.28046E+00
 -0.34154E-13  0.28070E+00
  0.30205E-12  0.49926E+01
  0.81797E-02  0.49992E+01
  0.37530E-04  0.49860E-04
  0.35676E-04  0.50560E-04
  0.33706E-04  0.49028E-04
  0.31114E-04  0.46270E-04
  0.29140E-04  0.42225E-04
  0.27824E-04  0.37569E-04
  0.27100E-04  0.32433E-04
  0.26872E-04  0.26872E-04
  0.27082E-04  0.20884E-04
  0.27694E-04  0.14520E-04
  0.28623E-04  0.79533E+00
  0.10587E+00  0.79681E+00
  0.19689E+00  0.80018E+00
  0.26407E+00  0.80395E+00
  0.30293E+00  0.80997E+00
  0.31184E+00  0.82271E+00
  0.28829E+00  0.84696E+00
  0.22592E+00  0.88333E+00
  0.12835E+00  0.91743E+00
  0.20665E-04  0.92567E-05
  0.18758E-04  0.10037E-04
  0.16997E-04  0.99324E-05
  0.15228E-04  0.94420E-05
  0.13872E-04  0.86019E-05
  0.12896E-04  0.76589E-05
  0.12255E-04  0.66394E-05
  0.11909E-04  0.55520E-05
  0.11851E-04  0.44026E-05
  0.12020E-04  0.32667E-05
  0.12427E-04  0.21953E+00
  0.41272E-01  0.22588E+00
  0.71883E-01  0.24171E+00
  0.88924E-01  0.25952E+00
  0.92113E-01  0.27528E+00
  0.84721E-01  0.28728E+00
  0.69608E-01  0.29587E+00
  0.49166E-01  0.30155E+00
  0.25385E-01  0.30478E+00
  0.13056E-14  0.30583E+00
  0.26795E-13  0.49623E+01
  0.31499E-02  0.50095E+01
  0.35901E-04  0.51810E-04
  0.37752E-04  0.52728E-04
  0.31297E-04  0.53412E-04
  0.27195E-04  0.49017E-04
  0.24368E-04  0.44143E-04
  0.22612E-04  0.38747E-04
  0.21506E-04  0.33077E-04
  0.20884E-04  0.27082E-04
  0.20674E-04  0.20674E-04
  0.20977E-04  0.13832E-04
  0.22002E-04  0.67905E+00
  0.11585E+00  0.69120E+00
  0.21368E+00  0.71820E+00
  0.28251E+00  0.74977E+00
  0.32572E+00  0.78228E+00
  0.34526E+00  0.82182E+00
  0.33762E+00  0.87851E+00
  0.29216E+00  0.96045E+00
  0.16220E+00  0.10594E+01
  0.20712E-04  0.11452E-04
  0.19859E-04  0.12042E-04
  0.16445E-04  0.12403E-04
  0.14279E-04  0.11074E-04
  0.12763E-04  0.97908E-05
  0.11749E-04  0.84699E-05
  0.11058E-04  0.71596E-05
  0.10647E-04  0.57905E-05
  0.10528E-04  0.43409E-05
  0.10890E-04  0.28378E-05
  0.11251E-04  0.16480E+00
  0.57013E-01  0.18159E+00
  0.99299E-01  0.21610E+00
  0.11333E+00  0.25314E+00
  0.11126E+00  0.28086E+00
  0.98682E-01  0.30157E+00
  0.79235E-01  0.31614E+00
  0.55170E-01  0.32577E+00
  0.28265E-01  0.33124E+00
  0.59708E-14  0.33302E+00
 -0.10078E-12  0.47247E+01
  0.37696E+00  0.49589E+01
  0.71506E-04  0.44226E-04
  0.35374E-04  0.68299E-04
  0.27625E-04  0.58462E-04
  0.21567E-04  0.52775E-04
  0.18702E-04  0.46341E-04
  0.16754E-04  0.40207E-04
  0.15461E-04  0.34027E-04
  0.14520E-04  0.27694E-04
  0.13832E-04  0.20977E-04
  0.13417E-04  0.13417E-04
  0.13688E-04  0.53192E+00
  0.16028E+00  0.56585E+00
  0.25951E+00  0.63926E+00
  0.32610E+00  0.69516E+00
  0.37157E+00  0.74769E+00
  0.40245E+00  0.80660E+00
  0.42374E+00  0.87847E+00
  0.41437E+00  0.10157E+01
  0.38565E+00  0.12211E+01
  0.33381E-04  0.10973E-04
  0.18533E-04  0.18983E-04
  0.15126E-04  0.14818E-04
  0.12541E-04  0.12874E-04
  0.11231E-04  0.10925E-04
