vx  vy
0.28830E+00  0.31345E+00
0.29171E+00  0.23021E+00
0.29909E+00  0.18298E+00
0.29783E+00  0.17343E+00
0.27889E+00  0.19516E+00
0.24386E+00  0.22955E+00
0.17095E+00  0.26959E+00
0.90966E-01  0.29041E+00
0.78840E-14  0.29898E+00
0.22807E-12  0.26003E+01
0.39410E+00  0.24903E+01
0.69659E+00  0.21890E+01
0.83716E+00  0.17969E+01
0.89482E+00  0.10615E+01
0.21781E-04  0.64006E-05
0.16410E-04  0.19921E-04
0.20475E-04  0.24067E-04
0.23190E-04  0.26393E-04
0.20940E-04  0.48604E-04
0.73850E-04  0.35203E+01
0.12570E+01  0.16232E+01
0.46040E+00  0.15016E+01
0.38478E-04  0.14682E-04
0.35598E-04  0.10718E-04
0.31584E-04  0.84557E-05
0.31805E-04  0.50552E-05
0.35144E-04  0.25249E-05
0.37738E-04  0.15626E+00
0.34162E+00  0.19846E+00
0.58327E+00  0.27285E+00
0.66126E+00  0.34118E+00
0.60518E+00  0.37575E+00
0.47440E+00  0.36878E+00
0.26690E+00  0.34129E+00
0.19530E-04  0.30856E-05
0.16343E-04  0.46261E-05
0.14317E-04  0.54942E-05
0.13282E-04  0.61946E-05
0.13329E-04  0.59106E-05
0.14543E-04  0.40917E+00
0.98178E-01  0.36846E+00
0.18141E+00  0.28069E+00
0.22707E+00  0.20327E+00
0.27428E+00  0.15784E+00
0.31349E+00  0.16067E+00
0.33430E+00  0.20631E+00
0.26828E+00  0.30058E+00
0.22559E+00  0.34872E+00
0.10684E+00  0.39379E+00
0.51109E-14  0.39718E+00
0.92259E-13  0.22703E+01
0.22747E+00  0.22002E+01
0.39734E+00  0.20116E+01
0.47278E+00  0.17294E+01
0.33298E+00  0.14084E+01
0.27454E-04  0.12120E-04
0.24591E-04  0.17276E-04
0.24534E-04  0.22193E-04
0.26209E-04  0.26302E-04
0.35956E-04  0.26182E-04
0.38920E-04  0.21629E+01
0.41114E+00  0.20508E+01
0.55301E+00  0.18344E+01
0.48114E-04  0.15685E-04
0.29165E-04  0.19579E-04
0.27039E-04  0.91543E-05
0.26573E-04  0.29046E-05
0.30634E-04  -0.19490E-05
0.44960E-04  -0.35461E+00
0.59945E+00  -0.19202E+00
0.75739E+00  0.17568E+00
0.71988E+00  0.38675E+00
0.67973E+00  0.47625E+00
0.49409E+00  0.55709E+00
0.26030E+00  0.59704E+00
0.19639E-04  0.65397E-05
0.17900E-04  0.71124E-05
0.14535E-04  0.78148E-05
0.12735E-04  0.69502E-05
0.12050E-04  0.54707E-05
0.12178E-04  0.33465E+00
0.41162E-01  0.30162E+00
0.28420E-01  0.24139E+00
0.16371E+00  0.12281E+00
0.25598E+00  0.94538E-01
0.34480E+00  0.93027E-01
0.43152E+00  0.19435E+00
0.61227E+00  0.29581E+00
0.24483E+00  0.54185E+00
0.11894E+00  0.50169E+00
0.82965E-14  0.50150E+00
-0.91580E-14  0.20894E+01
0.11523E+00  0.20393E+01
0.21151E+00  0.19065E+01
0.23335E+00  0.17428E+01
0.16567E+00  0.15939E+01
0.30771E-04  0.15367E-04
0.28548E-04  0.19084E-04
0.27486E-04  0.21863E-04
0.28507E-04  0.22834E-04
0.30864E-04  0.21471E-04
0.35651E-04  0.16734E+01
0.41422E+00  0.15897E+01
0.55413E+00  0.22778E+01
0.28004E+01  0.59635E-04
0.16765E+01  0.21148E-04
0.16282E+01  0.95782E-05
0.22501E+01  -0.13314E-05
0.23621E+01  -0.14931E-04
0.25040E+01  -0.16236E+01
0.94719E+00  -0.18945E+00
0.10940E+01  0.14888E+00
0.12849E+01  0.37772E+00
0.70783E+00  0.75318E+00
0.55683E+00  0.71633E+00
0.41234E+00  0.84350E+00
0.29462E-04  0.73199E-05
0.16795E-04  0.13426E-04
0.13666E-04  0.10098E-04
0.11083E-04  0.85655E-05
0.95516E-05  0.60830E-05
0.88604E-05  0.28896E+00
0.14684E-01  0.31983E+00
-0.23091E-05  0.67069E-05
0.14680E-05  0.84509E-05
0.24494E-05  0.10516E-04
0.37834E-05  0.11360E-04
0.38781E-05  0.16988E-04
0.19225E-04  0.10991E+01
0.27404E+00  0.64181E+00
0.81155E-01  0.62156E+00
-0.62156E-14  0.60220E+00
0.12371E-12  0.20180E+01
0.35004E-01  0.19620E+01
0.63189E-01  0.18459E+01
0.13493E+00  0.17262E+01
0.85947E-01  0.17096E+01
0.32802E-04  0.17692E-04
0.32614E-04  0.21178E-04
0.28811E-04  0.23745E-04
0.26594E-04  0.22383E-04
0.27390E-04  0.18144E-04
0.30303E-04  0.12528E+01
0.39472E+00  0.13097E+01
0.10141E+01  0.12234E+01
0.12098E+01  0.11341E+01
0.14350E+01  0.37566E+00
0.13815E+01  -0.52267E+00
0.50389E-04  -0.29759E-04
0.20776E-04  -0.44761E-05
0.19050E-04  -0.12116E-05
0.16235E-04  -0.67167E-06
0.10038E-04  0.18445E-04
0.36407E-04  0.17100E+01
0.73368E+00  0.81402E+00
0.58378E+00  0.73861E+00
0.53448E+00  0.12183E+01
0.19217E+01  0.35521E-04
0.13196E+01  0.14929E-04
0.11062E+01  0.12849E-04
0.91368E+00  0.10599E-04
0.64100E+00  0.75688E-05
0.24431E+00  0.16497E+00
0.71037E-01  0.36128E+00
0.44170E-05  0.35200E-05
0.36268E-05  0.78119E-05
0.41655E-05  0.96708E-05
0.45532E-05  0.11079E-04
0.72045E-05  0.10540E-04
0.74442E-05  0.82199E+00
0.55647E-01  0.78006E+00
0.57122E-01  0.68424E+00
-0.95290E-14  0.66886E+00
0.36761E-13  0.20801E+01
-0.12784E+00  0.19955E+01
0.65492E-02  0.17174E+01
0.55611E-01  0.16339E+01
0.30572E+00  0.17218E+01
0.53599E-04  0.15269E-04
0.33621E-04  0.30524E-04
