  vx           vy
 -0.28167E-12  -0.13856E-12
  0.11110E+02  0.47606E-12
  0.61667E+01  0.11369E-12
  0.40366E+01  0.13145E-12
  0.29687E+01  0.21316E-12
  0.23192E+01  -0.35527E-14
  0.18959E+01  0.00000E+00
  0.16065E+01  -0.24869E-12
  0.14036E+01  -0.19895E-12
  0.12590E+01  -0.15277E-12
  0.11552E+01  0.17053E-12
  0.10801E+01  -0.39435E-12
  0.10257E+01  0.14566E-12
  0.98609E+00  0.10658E-13
  0.95723E+00  -0.71054E-13
  0.93613E+00  0.71054E-13
  0.92064E+00  0.74607E-13
  0.90919E+00  -0.35527E-14
  0.90061E+00  -0.35527E-13
  0.89404E+00  -0.11013E-12
  0.88884E+00  0.21316E-13
  0.88446E+00  -0.20250E-12
  0.88049E+00  0.12790E-12
  0.87651E+00  -0.28777E-12
  0.87215E+00  0.19185E-12
  0.86697E+00  0.12079E-12
  0.86048E+00  0.31974E-13
  0.85207E+00  0.10658E-12
  0.84097E+00  -0.53291E-13
  0.82619E+00  -0.19185E-12
  0.80650E+00  0.31619E-12
  0.78036E+00  -0.13500E-12
  0.74594E+00  0.10658E-13
  0.70118E+00  0.12079E-12
  0.64389E+00  0.18119E-12
  0.57215E+00  -0.10303E-12
  0.48465E+00  -0.13145E-12
  0.38125E+00  -0.12434E-12
  0.26350E+00  -0.11013E-12
  0.13474E+00  -0.88818E-13
  0.80455E-13  -0.13744E-12
 -0.37998E-12  0.11248E+02
  0.57991E+01  0.59362E+01
  0.52170E+01  0.22498E+01
  0.36321E+01  0.12297E+01
  0.27847E+01  0.73579E+00
  0.22163E+01  0.48102E+00
  0.18330E+01  0.32796E+00
  0.15653E+01  0.22975E+00
  0.13754E+01  0.16345E+00
  0.12393E+01  0.11737E+00
  0.11411E+01  0.84771E-01
  0.10701E+01  0.61452E-01
  0.10184E+01  0.44665E-01
  0.98085E+00  0.32536E-01
  0.95344E+00  0.23758E-01
  0.93339E+00  0.17407E-01
  0.91867E+00  0.12822E-01
  0.90778E+00  0.95338E-02
  0.89962E+00  0.72063E-02
  0.89338E+00  0.56031E-02
  0.88843E+00  0.45615E-02
  0.88427E+00  0.39757E-02
  0.88048E+00  0.37858E-02
  0.87670E+00  0.39707E-02
  0.87255E+00  0.45457E-02
  0.86761E+00  0.55625E-02
  0.86143E+00  0.71117E-02
  0.85339E+00  0.93276E-02
  0.84277E+00  0.12393E-01
  0.82861E+00  0.16545E-01
  0.80968E+00  0.22066E-01
  0.78447E+00  0.29277E-01
  0.75111E+00  0.38489E-01
  0.70745E+00  0.49929E-01
  0.65120E+00  0.63612E-01
  0.58016E+00  0.79179E-01
  0.49278E+00  0.95741E-01
  0.38866E+00  0.11181E+00
  0.26919E+00  0.12546E+00
  0.13785E+00  0.13468E+00
  0.17260E-12  0.13794E+00
 -0.68858E-13  0.64425E+01
  0.21118E+01  0.54910E+01
  0.30594E+01  0.33309E+01
  0.27800E+01  0.19875E+01
  0.23166E+01  0.12906E+01
  0.19448E+01  0.87149E+00
  0.16598E+01  0.60676E+00
  0.14494E+01  0.42979E+00
  0.12953E+01  0.30776E+00
  0.11828E+01  0.22184E+00
  0.11008E+01  0.16059E+00
  0.10411E+01  0.11658E+00
  0.99750E+00  0.84807E-01
  0.96571E+00  0.61814E-01
  0.94247E+00  0.45154E-01
  0.92546E+00  0.33091E-01
  0.91296E+00  0.24381E-01
  0.90371E+00  0.18131E-01
  0.89677E+00  0.13706E-01
  0.89146E+00  0.10658E-01
  0.88725E+00  0.86782E-02
  0.88371E+00  0.75652E-02
  0.88048E+00  0.72056E-02
  0.87726E+00  0.75603E-02
  0.87371E+00  0.86594E-02
  0.86949E+00  0.10603E-01
  0.86417E+00  0.13569E-01
  0.85726E+00  0.17819E-01
  0.84806E+00  0.23715E-01
  0.83571E+00  0.31729E-01
  0.81907E+00  0.42444E-01
  0.79664E+00  0.56535E-01
  0.76652E+00  0.74701E-01
  0.72635E+00  0.97521E-01
  0.67341E+00  0.12520E+00
  0.60483E+00  0.15720E+00
  0.51811E+00  0.19184E+00
  0.41196E+00  0.22603E+00
  0.28729E+00  0.25548E+00
  0.14778E+00  0.27559E+00
  0.22548E-12  0.28272E+00
 -0.10352E-12  0.44559E+01
  0.10854E+01  0.40449E+01
  0.17109E+01  0.31783E+01
  0.18725E+01  0.22615E+01
  0.17573E+01  0.15877E+01
  0.15784E+01  0.11253E+01
  0.14130E+01  0.80387E+00
  0.12783E+01  0.57810E+00
  0.11745E+01  0.41759E+00
  0.10966E+01  0.30258E+00
