  vx           vy
 -0.20213E-13  0.35527E-13
  0.11194E+02  0.21316E-12
  0.63275E+01  -0.67502E-13
  0.42640E+01  0.42633E-13
  0.32495E+01  0.74607E-13
  0.26397E+01  -0.16165E-12
  0.22446E+01  0.17764E-13
  0.19753E+01  -0.11546E-12
  0.17894E+01  -0.69278E-13
  0.16649E+01  -0.10658E-12
  0.15910E+01  -0.10658E-13
  0.15653E+01  -0.14388E-12
  0.15928E+01  0.21316E-13
  0.16893E+01  -0.49738E-13
  0.18893E+01  0.47962E-13
  0.22804E+01  0.11546E-12
  0.30227E+01  0.23093E-13
  0.51291E+01  -0.74607E-13
  0.92403E+01  0.18652E-13
  0.10025E+02  -0.17764E-13
  0.99944E+01  -0.10436E-13
  0.10025E+02  0.13323E-13
  0.92248E+01  0.22649E-13
  0.50323E+01  0.93259E-13
  0.28279E+01  -0.48850E-13
  0.19847E+01  -0.74607E-13
  0.14875E+01  0.36415E-13
  0.11743E+01  -0.35527E-14
  0.95481E+00  0.23981E-13
  0.79116E+00  0.90594E-13
  0.66277E+00  -0.61284E-13
  0.55797E+00  0.74607E-13
  0.46954E+00  -0.80824E-13
  0.39282E+00  -0.47962E-13
  0.32462E+00  -0.69278E-13
  0.26270E+00  -0.28422E-13
  0.20538E+00  0.21316E-13
  0.15139E+00  0.13323E-12
  0.99719E-01  0.79936E-13
  0.49506E-01  0.55067E-13
 -0.12479E-12  0.59400E-13
 -0.62386E-13  0.11161E+02
  0.58856E+01  0.58530E+01
  0.53834E+01  0.21758E+01
  0.38665E+01  0.11690E+01
  0.30726E+01  0.68977E+00
  0.25428E+01  0.44862E+00
  0.21858E+01  0.30607E+00
  0.19357E+01  0.21388E+00
  0.17600E+01  0.14815E+00
  0.16403E+01  0.96296E-01
  0.15677E+01  0.50295E-01
  0.15398E+01  0.35361E-02
  0.15602E+01  -0.51207E-01
  0.16414E+01  -0.12662E+00
  0.18064E+01  -0.23646E+00
  0.21250E+01  -0.48386E+00
  0.25809E+01  -0.62629E+00
  0.42836E+01  -0.40125E+01
  0.22046E-03  -0.15982E-03
  0.84532E-04  -0.26356E-04
  0.10509E-03  -0.61222E-05
  0.84486E-04  0.79221E-04
  0.22083E-03  0.78933E+01
  0.41887E+01  0.18485E+01
  0.23877E+01  0.10339E+01
  0.18318E+01  0.54768E+00
  0.14081E+01  0.35279E+00
  0.11313E+01  0.24281E+00
  0.92870E+00  0.17932E+00
  0.77439E+00  0.13909E+00
  0.65144E+00  0.11239E+00
  0.55004E+00  0.93915E-01
  0.46384E+00  0.80756E-01
  0.38866E+00  0.71184E-01
  0.32155E+00  0.64133E-01
  0.26044E+00  0.58922E-01
  0.20374E+00  0.55102E-01
  0.15025E+00  0.52378E-01
  0.98999E-01  0.50553E-01
  0.49157E-01  0.49504E-01
 -0.41658E-13  0.49161E-01
 -0.16999E-12  0.62622E+01
  0.22085E+01  0.53182E+01
  0.32439E+01  0.31788E+01
  0.30366E+01  0.18647E+01
  0.26268E+01  0.11998E+01
  0.22903E+01  0.80994E+00
  0.20255E+01  0.56759E+00
  0.18252E+01  0.40354E+00
  0.16764E+01  0.28341E+00
  0.15702E+01  0.18707E+00
  0.15013E+01  0.10113E+00
  0.14676E+01  0.14477E-01
  0.14702E+01  -0.85382E-01
  0.15123E+01  -0.21484E+00
  0.16026E+01  -0.41118E+00
  0.17191E+01  -0.70268E+00
  0.19222E+01  -0.13605E+01
  0.13559E+01  -0.24583E+01
  0.15760E-03  -0.21968E-04
  0.15037E-03  -0.34200E-04
  0.12894E-03  0.47305E-05
  0.15005E-03  0.24071E-04
  0.15648E-03  0.34891E+01
  0.12623E+01  0.28533E+01
  0.17339E+01  0.14537E+01
  0.14330E+01  0.93676E+00
  0.12145E+01  0.62235E+00
  0.10161E+01  0.44711E+00
  0.85764E+00  0.33722E+00
  0.72761E+00  0.26575E+00
  0.61942E+00  0.21705E+00
  0.52739E+00  0.18279E+00
  0.44745E+00  0.15808E+00
  0.37660E+00  0.13994E+00
  0.31262E+00  0.12648E+00
  0.25384E+00  0.11649E+00
  0.19895E+00  0.10913E+00
  0.14692E+00  0.10387E+00
  0.96890E-01  0.10034E+00
  0.48135E-01  0.98312E-01
  0.19769E-12  0.97647E-01
  0.16654E-12  0.41660E+01
  0.12018E+01  0.37687E+01
  0.19299E+01  0.29392E+01
  0.21712E+01  0.20740E+01
  0.21088E+01  0.14553E+01
  0.19583E+01  0.10419E+01
  0.18021E+01  0.75716E+00
  0.16641E+01  0.55256E+00
  0.15512E+01  0.39635E+00
