  vx           vy
 -0.16672E-12  -0.31974E-13
  0.11175E+02  0.22382E-12
  0.62902E+01  -0.10303E-12
  0.42093E+01  0.26645E-13
  0.31784E+01  0.15987E-12
  0.25536E+01  -0.21316E-13
  0.21448E+01  -0.23093E-13
  0.18628E+01  -0.10481E-12
  0.16646E+01  -0.18652E-12
  0.15269E+01  -0.76383E-13
  0.14372E+01  -0.10658E-13
  0.13898E+01  -0.13145E-12
  0.13839E+01  -0.31974E-13
  0.14241E+01  -0.88818E-14
  0.15223E+01  0.74607E-13
  0.17034E+01  0.49738E-13
  0.20097E+01  0.88818E-14
  0.25528E+01  -0.17764E-14
  0.33504E+01  -0.29310E-13
  0.40122E+01  -0.47073E-13
  0.44409E+01  0.31086E-13
  0.39825E+01  -0.10658E-13
  0.32842E+01  0.10658E-13
  0.24338E+01  -0.55955E-13
  0.18290E+01  0.27534E-13
  0.14546E+01  0.13767E-13
  0.11972E+01  0.15543E-14
  0.10119E+01  -0.10214E-13
  0.87084E+00  0.00000E+00
  0.75825E+00  -0.44409E-14
  0.66433E+00  0.19873E-13
  0.58278E+00  -0.74385E-14
  0.50934E+00  0.52180E-14
  0.44108E+00  0.21094E-14
  0.37597E+00  0.55511E-15
  0.31260E+00  -0.22760E-14
  0.25002E+00  -0.29976E-14
  0.18768E+00  -0.40523E-14
  0.12526E+00  -0.18596E-14
  0.62690E-01  0.19706E-14
  0.18461E-14  -0.14847E-14
  0.73472E-13  0.11180E+02
  0.58665E+01  0.58718E+01
  0.53457E+01  0.21940E+01
  0.38111E+01  0.11860E+01
  0.30008E+01  0.70548E+00
  0.24560E+01  0.46290E+00
  0.20854E+01  0.31905E+00
  0.18229E+01  0.22599E+00
  0.16354E+01  0.16017E+00
  0.15035E+01  0.10959E+00
  0.14167E+01  0.67063E-01
  0.13696E+01  0.27549E-01
  0.13615E+01  -0.13460E-01
  0.13963E+01  -0.61473E-01
  0.14834E+01  -0.12356E+00
  0.16440E+01  -0.21820E+00
  0.19054E+01  -0.34678E+00
  0.23902E+01  -0.68060E+00
  0.30599E+01  -0.88152E+00
  0.52697E+01  -0.11878E+01
  0.48957E+01  0.21839E+00
  0.52726E+01  0.51950E+00
  0.29992E+01  0.12763E+01
  0.22743E+01  0.64613E+00
  0.17278E+01  0.43275E+00
  0.13993E+01  0.28631E+00
  0.11636E+01  0.20500E+00
  0.99093E+00  0.15379E+00
  0.85723E+00  0.12111E+00
  0.74927E+00  0.99589E-01
  0.65837E+00  0.85288E-01
  0.57886E+00  0.75816E-01
  0.50684E+00  0.69675E-01
  0.43958E+00  0.65866E-01
  0.37515E+00  0.63687E-01
  0.31223E+00  0.62617E-01
  0.24994E+00  0.62258E-01
  0.18774E+00  0.62298E-01
  0.12536E+00  0.62497E-01
  0.62755E-01  0.62686E-01
  0.65214E-15  0.62760E-01
  0.22506E-13  0.63009E+01
  0.21886E+01  0.53564E+01
  0.32048E+01  0.32155E+01
  0.29794E+01  0.18990E+01
  0.25528E+01  0.12313E+01
  0.22014E+01  0.83838E+00
  0.19234E+01  0.59317E+00
  0.17115E+01  0.42699E+00
  0.15524E+01  0.30619E+00
  0.14365E+01  0.21157E+00
  0.13573E+01  0.13123E+00
  0.13114E+01  0.56450E-01
  0.12978E+01  -0.20683E-01
  0.13180E+01  -0.10908E+00
  0.13771E+01  -0.22305E+00
  0.14797E+01  -0.37756E+00
  0.16566E+01  -0.65195E+00
  0.18192E+01  -0.88498E+00
  0.26930E+01  -0.30122E+01
  0.13284E-03  -0.10813E-03
  0.37745E-04  0.30065E-04
  0.13378E-03  0.53062E+01
  0.26461E+01  0.17138E+01
  0.17095E+01  0.12055E+01
  0.14881E+01  0.74894E+00
  0.12468E+01  0.52443E+00
  0.10728E+01  0.38065E+00
  0.93262E+00  0.29078E+00
  0.81910E+00  0.23168E+00
  0.72387E+00  0.19233E+00
  0.64145E+00  0.16595E+00
  0.56774E+00  0.14842E+00
  0.49978E+00  0.13709E+00
  0.43538E+00  0.13015E+00
  0.37294E+00  0.12629E+00
  0.31133E+00  0.12454E+00
  0.24984E+00  0.12413E+00
  0.18802E+00  0.12445E+00
  0.12572E+00  0.12502E+00
