  vx           vy
  0.12754E+00  0.34744E-01
  0.11935E+00  0.33510E-01
  0.11142E+00  0.32518E-01
  0.10365E+00  0.31724E-01
  0.96008E-01  0.31098E-01
  0.88473E-01  0.30613E-01
  0.81014E-01  0.30245E-01
  0.73608E-01  0.29974E-01
  0.66236E-01  0.29782E-01
  0.58884E-01  0.29651E-01
  0.51541E-01  0.29569E-01
  0.44198E-01  0.29522E-01
  0.36850E-01  0.29500E-01
  0.29495E-01  0.29495E-01
  0.22131E-01  0.29498E-01
  0.14759E-01  0.29504E-01
  0.73809E-02  0.29510E-01
  0.51369E-16  0.29512E-01
 -0.00000E+00  0.68653E+00
  0.13218E+00  0.66014E+00
  0.23703E+00  0.59190E+00
  0.30328E+00  0.50496E+00
  0.33536E+00  0.41892E+00
  0.34376E+00  0.34376E+00
  0.33810E+00  0.28210E+00
  0.32509E+00  0.23297E+00
  0.30883E+00  0.19433E+00
  0.29145E+00  0.16369E+00
  0.27429E+00  0.13952E+00
  0.25789E+00  0.12027E+00
  0.24249E+00  0.10481E+00
  0.22814E+00  0.92309E-01
  0.21482E+00  0.82132E-01
  0.20243E+00  0.73800E-01
  0.19090E+00  0.66946E-01
  0.18010E+00  0.61288E-01
  0.16996E+00  0.56606E-01
  0.16037E+00  0.52728E-01
  0.15126E+00  0.49518E-01
  0.14254E+00  0.46866E-01
  0.13416E+00  0.44681E-01
  0.12605E+00  0.42893E-01
  0.11814E+00  0.41435E-01
  0.11045E+00  0.40266E-01
  0.10288E+00  0.39334E-01
  0.95410E-01  0.38604E-01
  0.88017E-01  0.38043E-01
  0.80675E-01  0.37623E-01
  0.73365E-01  0.37319E-01
  0.66070E-01  0.37108E-01
  0.58778E-01  0.36972E-01
  0.51480E-01  0.36892E-01
  0.44169E-01  0.36853E-01
  0.36843E-01  0.36843E-01
  0.29500E-01  0.36850E-01
  0.22141E-01  0.36865E-01
  0.14769E-01  0.36881E-01
  0.73869E-02  0.36892E-01
  0.51413E-16  0.36896E-01
 -0.00000E+00  0.57193E+00
  0.92970E-01  0.55649E+00
  0.17201E+00  0.51482E+00
  0.22938E+00  0.45773E+00
  0.26471E+00  0.39630E+00
  0.28210E+00  0.33810E+00
  0.28682E+00  0.28682E+00
  0.28342E+00  0.24343E+00
  0.27528E+00  0.20760E+00
  0.26451E+00  0.17805E+00
  0.25260E+00  0.15400E+00
  0.24034E+00  0.13433E+00
  0.22821E+00  0.11822E+00
  0.21647E+00  0.10497E+00
  0.20523E+00  0.94043E-01
  0.19452E+00  0.84994E-01
  0.18435E+00  0.77484E-01
  0.17467E+00  0.71240E-01
  0.16545E+00  0.66044E-01
  0.15663E+00  0.61722E-01
  0.14816E+00  0.58133E-01
  0.13998E+00  0.55161E-01
  0.13206E+00  0.52713E-01
  0.12433E+00  0.50709E-01
  0.11676E+00  0.49078E-01
  0.10934E+00  0.47776E-01
  0.10201E+00  0.46743E-01
  0.94737E-01  0.45941E-01
  0.87510E-01  0.45333E-01
  0.80306E-01  0.44885E-01
  0.73107E-01  0.44570E-01
  0.65902E-01  0.44362E-01
  0.58679E-01  0.44236E-01
  0.51432E-01  0.44174E-01
  0.44157E-01  0.44157E-01
  0.36853E-01  0.44169E-01
  0.29522E-01  0.44198E-01
  0.22165E-01  0.44231E-01
  0.14789E-01  0.44261E-01
  0.73980E-02  0.44282E-01
  0.51493E-16  0.44289E-01
 -0.00000E+00  0.48997E+00
  0.68904E-01  0.48020E+00
  0.13002E+00  0.45309E+00
  0.17826E+00  0.41416E+00
  0.21213E+00  0.36976E+00
  0.23297E+00  0.32509E+00
  0.24343E+00  0.28342E+00
  0.24635E+00  0.24635E+00
  0.24415E+00  0.21438E+00
  0.23865E+00  0.18704E+00
  0.23119E+00  0.16410E+00
  0.22262E+00  0.14487E+00
  0.21354E+00  0.12879E+00
  0.20429E+00  0.11534E+00
  0.19509E+00  0.10409E+00
  0.18608E+00  0.94662E-01
  0.17730E+00  0.86766E-01
  0.16879E+00  0.80151E-01
  0.16054E+00  0.74614E-01
  0.15254E+00  0.69987E-01
  0.14476E+00  0.66133E-01
  0.13718E+00  0.62937E-01
  0.12975E+00  0.60302E-01
  0.12246E+00  0.58148E-01
  0.11525E+00  0.56402E-01
  0.10814E+00  0.55014E-01
  0.10107E+00  0.53923E-01
  0.94022E-01  0.53085E-01
  0.86981E-01  0.52462E-01
  0.79931E-01  0.52016E-01
  0.72858E-01  0.51715E-01
  0.65751E-01  0.51532E-01
  0.58604E-01  0.51438E-01
  0.51412E-01  0.51412E-01
  0.44174E-01  0.51432E-01
  0.36892E-01  0.51480E-01
  0.29569E-01  0.51541E-01
  0.22210E-01  0.51602E-01
  0.14823E-01  0.51652E-01
  0.74164E-02  0.51686E-01
  0.51624E-16  0.51697E-01
 -0.00000E+00  0.42856E+00
  0.53168E-01  0.42199E+00
  0.10166E+00  0.40344E+00
  0.14207E+00  0.37593E+00
  0.17290E+00  0.34324E+00
  0.19433E+00  0.30883E+00
  0.20760E+00  0.27528E+00
  0.21438E+00  0.24415E+00
  0.21631E+00  0.21631E+00
  0.21478E+00  0.19171E+00
  0.21089E+00  0.17048E+00
  0.20545E+00  0.15226E+00
  0.19904E+00  0.13672E+00
  0.19207E+00  0.12350E+00
  0.18480E+00  0.11229E+00
  0.17741E+00  0.10279E+00
  0.17001E+00  0.94751E-01
  0.16266E+00  0.87967E-01
  0.15541E+00  0.82255E-01
  0.14825E+00  0.77461E-01
  0.14119E+00  0.73457E-01
  0.13422E+00  0.70132E-01
  0.12732E+00  0.67392E-01
  0.12049E+00  0.65157E-01
  0.11367E+00  0.63354E-01
  0.10690E+00  0.61932E-01
  0.10011E+00  0.60827E-01
  0.93303E-01  0.59995E-01
  0.86465E-01  0.59392E-01
  0.79581E-01  0.58980E-01
  0.72642E-01  0.58723E-01
  0.65641E-01  0.58590E-01
  0.58573E-01  0.58551E-01
  0.51438E-01  0.58581E-01
  0.44236E-01  0.58656E-01
  0.36971E-01  0.58755E-01
  0.29651E-01  0.58861E-01
  0.22282E-01  0.58959E-01
  0.14876E-01  0.59038E-01
  0.74448E-02  0.59088E-01
  0.51825E-16  0.59105E-01
 -0.00000E+00  0.38036E+00
  0.42257E-01  0.37575E+00
  0.81548E-01  0.36258E+00
  0.11557E+00  0.34259E+00
  0.14303E+00  0.31811E+00
  0.16369E+00  0.29145E+00
  0.17805E+00  0.26451E+00
  0.18704E+00  0.23865E+00
  0.19171E+00  0.21478E+00
  0.19307E+00  0.19307E+00
  0.19197E+00  0.17387E+00
  0.18911E+00  0.15702E+00
  0.18501E+00  0.14237E+00
  0.18006E+00  0.12971E+00
  0.17455E+00  0.11883E+00
  0.16869E+00  0.10950E+00
  0.16261E+00  0.10154E+00
  0.15641E+00  0.94763E-01
