  vx           vy
 -0.67854E-13  0.78160E-13
  0.11465E+02  0.41922E-12
  0.68627E+01  -0.35527E-13
  0.50474E+01  -0.14211E-13
  0.42598E+01  0.43343E-12
  0.38515E+01  -0.14921E-12
  0.36299E+01  -0.19185E-12
  0.35048E+01  -0.23803E-12
  0.34329E+01  -0.24158E-12
  0.33912E+01  -0.24158E-12
  0.33667E+01  -0.17764E-13
  0.33523E+01  -0.19185E-12
  0.33438E+01  -0.10658E-13
  0.33388E+01  -0.46185E-13
  0.33358E+01  -0.71054E-14
  0.33340E+01  0.36238E-12
  0.33329E+01  0.78160E-13
  0.33321E+01  -0.17764E-12
  0.33316E+01  -0.13500E-12
  0.33312E+01  0.14211E-13
  0.33307E+01  0.92371E-13
  0.33302E+01  -0.23448E-12
  0.33294E+01  0.39080E-13
  0.33281E+01  -0.31619E-12
  0.33261E+01  0.39080E-13
  0.33227E+01  0.74607E-13
  0.33169E+01  -0.12434E-13
  0.33073E+01  -0.24869E-13
  0.32912E+01  -0.17764E-12
  0.32642E+01  -0.31974E-13
  0.32196E+01  0.11546E-12
  0.31474E+01  -0.85265E-13
  0.30338E+01  -0.24869E-13
  0.28635E+01  0.95923E-13
  0.26232E+01  0.28422E-13
  0.23066E+01  0.88818E-14
  0.19199E+01  0.40856E-13
  0.14776E+01  -0.62172E-13
  0.99987E+00  -0.41744E-13
  0.50349E+00  0.14211E-13
  0.80334E-13  -0.77190E-13
 -0.15697E-12  0.10885E+02
  0.61614E+01  0.55814E+01
  0.59265E+01  0.19166E+01
  0.46608E+01  0.92895E+00
  0.40958E+01  0.47398E+00
  0.37688E+01  0.26025E+00
  0.35858E+01  0.14681E+00
  0.34803E+01  0.84477E-01
  0.34189E+01  0.49111E-01
  0.33831E+01  0.28741E-01
  0.33620E+01  0.16894E-01
  0.33496E+01  0.99668E-02
  0.33422E+01  0.59043E-02
  0.33379E+01  0.35184E-02
  0.33352E+01  0.21172E-02
  0.33337E+01  0.12968E-02
  0.33327E+01  0.82167E-03
  0.33320E+01  0.55588E-03
  0.33316E+01  0.42395E-03
  0.33312E+01  0.38889E-03
  0.33308E+01  0.44152E-03
  0.33303E+01  0.59786E-03
  0.33296E+01  0.90365E-03
  0.33285E+01  0.14473E-02
  0.33267E+01  0.23850E-02
  0.33238E+01  0.39838E-02
  0.33188E+01  0.66948E-02
  0.33104E+01  0.11270E-01
  0.32963E+01  0.18942E-01
  0.32726E+01  0.31669E-01
  0.32330E+01  0.52402E-01
  0.31677E+01  0.85066E-01
  0.30624E+01  0.13370E+00
  0.28997E+01  0.19945E+00
  0.26618E+01  0.27843E+00
  0.23442E+01  0.35733E+00
  0.19471E+01  0.42524E+00
  0.14955E+01  0.46991E+00
  0.10083E+01  0.49441E+00
  0.50647E+00  0.50375E+00
  0.56813E-14  0.50602E+00
 -0.36542E-12  0.57016E+01
  0.24973E+01  0.47667E+01
  0.38115E+01  0.26534E+01
  0.38644E+01  0.13796E+01
  0.36896E+01  0.76508E+00
  0.35593E+01  0.43168E+00
  0.34701E+01  0.24851E+00
  0.34149E+01  0.14440E+00
  0.33813E+01  0.84462E-01
  0.33612E+01  0.49601E-01
  0.33492E+01  0.29221E-01
  0.33421E+01  0.17269E-01
  0.33378E+01  0.10247E-01
  0.33353E+01  0.61189E-02
  0.33337E+01  0.36929E-02
  0.33328E+01  0.22717E-02
  0.33322E+01  0.14480E-02
  0.33318E+01  0.98687E-03
  0.33315E+01  0.75754E-03
  0.33312E+01  0.69596E-03
  0.33309E+01  0.78627E-03
  0.33306E+01  0.10563E-02
  0.33302E+01  0.15852E-02
  0.33295E+01  0.25267E-02
  0.33285E+01  0.41520E-02
  0.33267E+01  0.69268E-02
  0.33238E+01  0.11641E-01
  0.33189E+01  0.19622E-01
  0.33105E+01  0.33080E-01
  0.32960E+01  0.55638E-01
  0.32710E+01  0.92992E-01
  0.32269E+01  0.15371E+00
  0.31486E+01  0.24828E+00
  0.30109E+01  0.38482E+00
  0.27913E+01  0.55269E+00
  0.24544E+01  0.73253E+00
  0.20386E+01  0.87144E+00
  0.15436E+01  0.96504E+00
  0.10297E+01  0.10026E+01
  0.51225E+00  0.10137E+01
  0.22681E-12  0.10146E+01
 -0.18006E-12  0.33018E+01
  0.15139E+01  0.29196E+01
  0.25413E+01  0.21333E+01
  0.30582E+01  0.13338E+01
  0.32407E+01  0.79591E+00
  0.33012E+01  0.47129E+00
  0.33219E+01  0.27788E+00
  0.33287E+01  0.16384E+00
  0.33310E+01  0.96610E-01
  0.33317E+01  0.57022E-01
  0.33319E+01  0.33708E-01
  0.33319E+01  0.19978E-01
  0.33318E+01  0.11893E-01
  0.33318E+01  0.71322E-02
