  vx           vy
  0.26151E-14  -0.31974E-13
  0.11146E+02  0.35527E-14
  0.62414E+01  0.49738E-13
  0.41573E+01  0.11369E-12
  0.31472E+01  0.10481E-12
  0.25694E+01  -0.37303E-13
  0.22307E+01  0.10658E-13
  0.20317E+01  -0.16342E-12
  0.19168E+01  -0.17231E-12
  0.18499E+01  -0.42633E-13
  0.18073E+01  0.74607E-13
  0.17730E+01  -0.62172E-13
  0.17347E+01  0.10658E-13
  0.16818E+01  0.00000E+00
  0.16063E+01  0.69278E-13
  0.15067E+01  0.71942E-13
  0.13872E+01  -0.22204E-13
  0.12608E+01  0.15099E-13
  0.11398E+01  0.53291E-14
  0.10344E+01  0.20428E-13
  0.95016E+00  0.10658E-13
  0.88839E+00  -0.58620E-13
  0.84848E+00  -0.24869E-13
  0.82808E+00  -0.29310E-13
  0.82298E+00  0.57732E-13
  0.82787E+00  0.25757E-13
  0.83653E+00  -0.53291E-14
  0.84472E+00  0.20428E-13
  0.84972E+00  -0.33751E-13
  0.85051E+00  -0.15099E-13
  0.84620E+00  0.51514E-13
  0.83490E+00  -0.20428E-13
  0.81299E+00  -0.22204E-13
  0.77521E+00  -0.16875E-13
  0.71606E+00  0.39968E-14
  0.63296E+00  0.75495E-14
  0.52685E+00  -0.25313E-13
  0.40436E+00  -0.44409E-13
  0.27232E+00  0.66613E-14
  0.13659E+00  -0.88818E-14
  0.44433E-13  -0.11861E-13
 -0.20954E-12  0.11213E+02
  0.58335E+01  0.59006E+01
  0.52882E+01  0.22098E+01
  0.37469E+01  0.11801E+01
  0.29551E+01  0.67167E+00
  0.24604E+01  0.40025E+00
  0.21639E+01  0.23632E+00
  0.19919E+01  0.13569E+00
  0.18942E+01  0.77204E-01
  0.18385E+01  0.45735E-01
  0.18036E+01  0.31959E-01
  0.17752E+01  0.30782E-01
  0.17422E+01  0.40594E-01
  0.16933E+01  0.61081E-01
  0.16208E+01  0.87850E-01
  0.15152E+01  0.11552E+00
  0.13926E+01  0.12947E+00
  0.12570E+01  0.13068E+00
  0.11314E+01  0.11665E+00
  0.10235E+01  0.96141E-01
  0.93867E+00  0.72989E-01
  0.87731E+00  0.50081E-01
  0.83856E+00  0.28562E-01
  0.81999E+00  0.10231E-01
  0.81849E+00  -0.32825E-02
  0.82548E+00  -0.93642E-02
  0.83745E+00  -0.10402E-01
  0.84639E+00  -0.71216E-02
  0.85185E+00  -0.31476E-02
  0.85293E+00  0.12470E-02
  0.84948E+00  0.64845E-02
  0.83999E+00  0.14254E-01
  0.82086E+00  0.26717E-01
  0.78595E+00  0.45862E-01
  0.72952E+00  0.70347E-01
  0.64357E+00  0.97491E-01
  0.53631E+00  0.11780E+00
  0.40846E+00  0.13130E+00
  0.27384E+00  0.13581E+00
  0.13678E+00  0.13674E+00
  0.18586E-13  0.13660E+00
 -0.20927E-12  0.63751E+01
  0.21430E+01  0.54227E+01
  0.31210E+01  0.32565E+01
  0.28756E+01  0.18950E+01
  0.24631E+01  0.11634E+01
  0.21606E+01  0.70693E+00
  0.19815E+01  0.41085E+00
  0.18809E+01  0.23182E+00
  0.18325E+01  0.12823E+00
  0.18082E+01  0.75024E-01
  0.17939E+01  0.52271E-01
  0.17819E+01  0.50907E-01
  0.17652E+01  0.70111E-01
  0.17326E+01  0.11255E+00
  0.16604E+01  0.17935E+00
  0.15631E+01  0.23693E+00
  0.13969E+01  0.28293E+00
  0.12466E+01  0.27249E+00
  0.11024E+01  0.24110E+00
  0.98890E+00  0.19357E+00
  0.90338E+00  0.14560E+00
  0.84346E+00  0.98828E-01
  0.80754E+00  0.54497E-01
  0.79591E+00  0.14569E-01
  0.80073E+00  -0.12518E-01
  0.82470E+00  -0.27411E-01
  0.83899E+00  -0.22704E-01
  0.85287E+00  -0.15494E-01
  0.85820E+00  -0.59821E-02
  0.85956E+00  0.17615E-02
  0.85828E+00  0.10654E-01
  0.85404E+00  0.23787E-01
  0.84386E+00  0.46352E-01
  0.82058E+00  0.84055E-01
  0.76720E+00  0.14077E+00
  0.69022E+00  0.19655E+00
  0.55751E+00  0.24966E+00
  0.42162E+00  0.26914E+00
  0.27594E+00  0.27611E+00
  0.13615E+00  0.27362E+00
  0.14944E-13  0.27239E+00
 -0.94739E-14  0.43559E+01
  0.11157E+01  0.39475E+01
  0.17616E+01  0.30825E+01
  0.19345E+01  0.21451E+01
  0.18406E+01  0.14129E+01
  0.17695E+01  0.84925E+00
  0.17023E+01  0.48408E+00
  0.17233E+01  0.24808E+00
  0.17501E+01  0.13301E+00
  0.17694E+01  0.76258E-01
  0.17820E+01  0.52896E-01
  0.17919E+01  0.52722E-01
  0.18022E+01  0.74326E-01
